year_num,state_cnty_fips_cd,state_fips,county_fips,naics2_sector_cd,source_census_firmpdemp,source_census_emp,source_census_payann_usd,source_census_rcppdemp_usd,rdm_abs_firms,rdm_abs_emp,rdm_abs_payroll_usd_amt,rdm_abs_rcpt_usd_amt,delta_firms,delta_emp,delta_payroll_usd,delta_receipts_usd,delta_firms_pct,delta_emp_pct,delta_payroll_pct,delta_receipts_pct,pass_firms,pass_emp,pass_payroll,pass_receipts,pass_all,notes,source_system,source_qcew_annual_avg_emplvl,source_qcew_total_annual_wages_usd,source_qcew_avg_weekly_wage_usd,rdm_qcew_emp,rdm_qcew_wages_usd,rdm_qcew_avg_weekly_wage_usd,delta_wages_usd,delta_avg_weekly_wage_usd,delta_wages_pct,delta_avg_weekly_wage_pct,pass_wages,pass_avg_weekly_wage
2022,06075,06,075,42,719.0,16018.0,2457565000.0,50622448000.0,719,16018,2457565000.0,50622448000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,,abs,,,,,,,,,,,,
2022,06075,06,075,62,2921.0,57082.0,4207511000.0,10324323000.0,2921,57082,4207511000.0,10324323000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,,abs,,,,,,,,,,,,
2022,06085,06,085,42,1780.0,105225.0,16012645000.0,199410990000.0,1780,105225,16012645000.0,199410990000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,,abs,,,,,,,,,,,,
2022,06085,06,085,62,5378.0,119665.0,10028314000.0,25270141000.0,5378,119665,10028314000.0,25270141000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,,abs,,,,,,,,,,,,
2023,06075,06,075,42,857.0,13248.0,2270426000.0,22686238000.0,857,13248,2270426000.0,22686238000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,,abs,,,,,,,,,,,,
2023,06075,06,075,62,2620.0,53135.0,4772487000.0,12269467000.0,2620,53135,4772487000.0,12269467000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,,abs,,,,,,,,,,,,
2023,06085,06,085,42,1798.0,73649.0,16243836000.0,122331344000.0,1798,73649,16243836000.0,122331344000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,,abs,,,,,,,,,,,,
2023,06085,06,085,62,5301.0,101335.0,9998148000.0,25249218000.0,5301,101335,9998148000.0,25249218000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,,abs,,,,,,,,,,,,
2022,06075,06,075,42,,,,,,,,,,0.0,,,,0.0,,,,True,,,True,,qcew,10624.0,1737859634.0,3146.0,10624,1737859634.0,3145.743371322,0.0,-0.2566286780001974,0.0,-8.157300635734183e-05,True,True
2022,06075,06,075,62,,,,,,,,,,0.0,,,,0.0,,,,True,,,True,,qcew,80003.0,5511965630.0,1325.0,80003,5511965630.0,1324.942052654,0.0,-0.05794734599999174,0.0,-4.3733846037729616e-05,True,True
2022,06085,06,085,42,,,,,,,,,,0.0,,,,0.0,,,,True,,,True,,qcew,27802.0,4568973956.0,3160.0,27802,4568973956.0,3160.379964363,0.0,0.37996436299999914,0.0,0.00012024188702531618,True,True
2022,06085,06,085,62,,,,,,,,,,0.0,,,,0.0,,,,True,,,True,,qcew,136283.0,11131972788.0,1571.0,136283,11131972788.0,1570.822478,0.0,-0.17752199999995355,0.0,-0.00011299936346273301,True,True
2023,06075,06,075,42,,,,,,,,,,0.0,,,,0.0,,,,True,,,True,,qcew,9799.0,1638430140.0,3215.0,9799,1638430140.0,3215.457896018,0.0,0.4578960180001559,0.0,0.00014242488895805782,True,True
2023,06075,06,075,62,,,,,,,,,,0.0,,,,0.0,,,,True,,,True,,qcew,81100.0,5720747749.0,1357.0,81100,5720747749.0,1356.527494309,0.0,-0.4725056909999239,0.0,-0.00034819874060421806,True,True
2023,06085,06,085,42,,,,,,,,,,0.0,,,,0.0,,,,True,,,True,,qcew,28097.0,4776563399.0,3269.0,28097,4776563399.0,3269.281006595,0.0,0.28100659499978065,0.0,8.596102630767227e-05,True,True
2023,06085,06,085,62,,,,,,,,,,0.0,,,,0.0,,,,True,,,True,,qcew,141635.0,12091721440.0,1642.0,141635,12091721440.0,1641.777135704,0.0,-0.22286429599989788,0.0,-0.00013572734226546766,True,True
