naics_desc,Employment,abs_emp_num,abs_emp_diff,Employment (QCEW),qcew_ann_avg_emp_lvl_num,qcew_emp_diff,dashboard_qcew_wage,qcew_avg_annual_wage,qcew_wage_diff
Health Care and Social Assistance,381463,381463,0,360663,360663,0,60530.287356895,60530.08,0.20735689499997534
"Professional, Scientific, and Technical Services",299748,299748,0,243542,243542,0,135407.912052131,135408.0,-0.08794786900398321
Finance and Insurance,265794,265794,0,158569,158569,0,187440.772868593,187440.76,0.012868592981249094
Administrative and Support and Waste Management and Remediation Services,262606,262606,0,199202,199202,0,57804.343716429,57804.23999999999,0.10371642901009182
Retail Trade,244268,244268,0,218095,218095,0,42251.852266214,42252.08,-0.2277337859995896
Accommodation and Food Services,224146,224146,0,215852,215852,0,33765.165585679,33765.16,0.00558567899861373
Manufacturing,176227,176227,0,174282,174282,0,79593.719890752,79593.8,-0.08010924799600616
Wholesale Trade,146834,146834,0,99166,99166,0,104836.754825243,104836.68,0.07482524300576188
Transportation and Warehousing,145601,145601,0,143856,143856,0,67756.600405962,67756.52,0.08040596199862193
Educational Services,115590,115590,0,85780,85780,0,73890.386523665,73890.44,-0.05347633500059601
Management of Companies and Enterprises,101686,101686,0,31590,31590,0,159110.135549224,159110.12,0.015549224015558138
Information,86122,86122,0,51318,51318,0,143018.94771815,143018.72,0.22771815001033247
Construction,75607,75607,0,73436,73436,0,90280.42381121,90280.32,0.10381120999227278
Real Estate and Rental and Leasing,52698,52698,0,46415,46415,0,98278.853387913,98278.96,-0.10661208700912539
Other Services (except Public Administration),48852,48852,0,92976,92976,0,60983.891907589,60984.04,-0.14809241100010695
"Arts, Entertainment, and Recreation",43020,43020,0,39390,39390,0,53618.093323178,53618.23999999999,-0.14667682199069532
Utilities,7263,7263,0,4356,4356,0,124742.957300275,124742.8,0.15730027499375865
"Mining, Quarrying, and Oil and Gas Extraction",411,411,0,344,344,0,101275.89244186,101275.72,0.17244186000607442
"Agriculture, Forestry, Fishing and Hunting",0,0,0,1251,1251,0,54204.757793765,54204.8,-0.04220623500441434
