table,column,type,description
"econ_bnchmrk_abs_qcew","year_num","INT64","Calendar year of observation"
"econ_bnchmrk_abs_qcew","state_cnty_fips_cd","STRING","5-digit FIPS code (state + county); 'xx999' denotes unspecified county"
"econ_bnchmrk_abs_qcew","naics2_sector_cd","STRING","Two-digit NAICS sector code"
"econ_bnchmrk_abs_qcew","naics2_sector_desc","STRING","NAICS sector description"
"econ_bnchmrk_abs_qcew","cnty_nm","STRING","County or planning-region name; null when ABS suppresses data"
"econ_bnchmrk_abs_qcew","state_nm","STRING","State name"
"econ_bnchmrk_abs_qcew","cnty_full_nm","STRING","County + state label for display"
"econ_bnchmrk_abs_qcew","geo_id","STRING","Census GEOID for county (null for unspecified rows)"
"econ_bnchmrk_abs_qcew","ind_level_num","INT64","Industry level (2 = sector)"
"econ_bnchmrk_abs_qcew","abs_firm_num","INT64","Number of firms from ABS"
"econ_bnchmrk_abs_qcew","abs_emp_num","INT64","Employment from ABS"
"econ_bnchmrk_abs_qcew","abs_payroll_usd_amt","NUMERIC","Annual payroll (USD) from ABS"
"econ_bnchmrk_abs_qcew","abs_rcpt_usd_amt","NUMERIC","Total receipts (USD) from ABS"
"econ_bnchmrk_abs_qcew","abs_rcpt_per_emp_usd_amt","NUMERIC","Receipts per employee (USD)"
"econ_bnchmrk_abs_qcew","qcew_ann_avg_emp_lvl_num","INT64","Average annual employment level from QCEW"
"econ_bnchmrk_abs_qcew","qcew_ttl_ann_wage_usd_amt","NUMERIC","Total annual wages (USD) from QCEW"
"econ_bnchmrk_abs_qcew","qcew_avg_wkly_wage_usd_amt","NUMERIC","Average weekly wage (USD) from QCEW"
"econ_bnchmrk_abs_qcew","qcew_wage_per_emp_usd_amt","NUMERIC","Derived QCEW annual wage per employee"
"econ_bnchmrk_abs_qcew","abs_wage_per_emp_usd_amt","NUMERIC","Derived ABS payroll per employee"
"econ_bnchmrk_abs_qcew","abs_rcpt_per_firm_usd_amt","NUMERIC","Derived ABS receipts per firm"
"ref_state_cnty_uscb","state_cnty_fips_cd","STRING","5-digit FIPS code (state + county)"
"ref_state_cnty_uscb","state_cd","STRING","State postal abbreviation"
"ref_state_cnty_uscb","cnty_ansi_nm","STRING","ANSI county identifier"
"ref_state_cnty_uscb","cnty_nm","STRING","County name"
"ref_state_cnty_uscb","land_area_num","INT64","Land area (square meters)"
"ref_state_cnty_uscb","water_area_num","INT64","Water area (square meters)"
"ref_state_cnty_uscb","lat_num","FLOAT64","Latitude"
"ref_state_cnty_uscb","long_num","FLOAT64","Longitude"
"ref_naics2_uscb","naics2_sector_cd","STRING","Two-digit NAICS sector code"
"ref_naics2_uscb","naics2_sector_desc","STRING","NAICS sector description"
