naics2,annual_avg_emplvl_pipeline,avg_weekly_wage_pipeline,total_annual_wages_pipeline,annual_avg_emplvl_bls,avg_weekly_wage_bls,avg_annual_pay,total_annual_wages_bls,employment_diff,wage_diff
11,7089.0,853.67,314686738.0,7089.0,854.0,44388.0,314686738.0,0.0,-0.3300000000000409
21,24.0,1578.72,1970244.0,24.0,1552.0,80693.0,1970244.0,0.0,26.720000000000027
22,220.0,2949.65,33744012.0,220.0,2944.0,153092.0,33744012.0,0.0,5.650000000000091
23,4974.0,1358.45,351361070.0,4974.0,1359.0,70643.0,351361070.0,0.0,-0.5499999999999545
31,,,,7907.0,1641.0,85342.0,674835127.0,,
31-33,7907.0,1641.28,674835127.0,,,,,,
42,3427.0,1580.39,281631432.0,3427.0,1580.0,82180.0,281631432.0,0.0,0.39000000000010004
44,,,,10967.0,776.0,40360.0,442612061.0,,
44-45,10967.0,776.13,442612061.0,,,,,,
48,,,,1915.0,994.0,51708.0,99016768.0,,
48-49,1915.0,994.34,99016768.0,,,,,,
51,583.0,1590.89,48229403.0,583.0,1590.0,82691.0,48229403.0,0.0,0.8900000000001
52,1836.0,1998.81,190830698.0,1836.0,1999.0,103924.0,190830698.0,0.0,-0.19000000000005457
53,1403.0,1131.74,82567451.0,1403.0,1132.0,58851.0,82567451.0,0.0,-0.2599999999999909
54,4572.0,1839.63,437360814.0,4572.0,1840.0,95664.0,437360814.0,0.0,-0.36999999999989086
55,1237.0,4196.25,269919562.0,1237.0,4198.0,218279.0,269919562.0,0.0,-1.75
56,4762.0,1112.35,275444169.0,4762.0,1112.0,57843.0,275444169.0,0.0,0.34999999999990905
61,1845.0,885.96,84998964.0,1845.0,886.0,46080.0,84998964.0,0.0,-0.03999999999996362
62,15313.0,1327.25,1056860351.0,15313.0,1327.0,69019.0,1056860351.0,0.0,0.25
71,2339.0,587.7,71480929.0,2339.0,588.0,30566.0,71480929.0,0.0,-0.2999999999999545
72,11613.0,580.91,350798907.0,11613.0,581.0,30207.0,350798907.0,0.0,-0.09000000000003183
81,4748.0,909.16,224467944.0,4748.0,909.0,47276.0,224467944.0,0.0,0.15999999999996817
99,,,,3.0,772.0,40126.0,133754.0,,
