naics_desc,Employment,abs_emp_num,abs_emp_diff,Employment (QCEW),qcew_ann_avg_emp_lvl_num,qcew_emp_diff,dashboard_qcew_wage,qcew_avg_annual_wage,qcew_wage_diff
Health Care and Social Assistance,17636,17636,0,15313,15313,0,69017.19787109,69017.0,0.19787109000026248
Retail Trade,11302,11302,0,10967,10967,0,40358.535698003,40358.76,-0.22430199700465892
Accommodation and Food Services,6941,6941,0,11613,11613,0,30207.431929734,30207.32,0.11192973400102346
Manufacturing,4992,4992,0,7907,7907,0,85346.544454281,85346.56,-0.015545718997600488
"Professional, Scientific, and Technical Services",4975,4975,0,4572,4572,0,95660.720472441,95660.76000000001,-0.03952755901264027
Construction,4777,4777,0,4974,4974,0,70639.539605951,70639.40000000001,0.13960595098615158
Administrative and Support and Waste Management and Remediation Services,3267,3267,0,4762,4762,0,57842.118647627,57842.2,-0.08135237299575238
Other Services (except Public Administration),2648,2648,0,4748,4748,0,47276.315080034,47276.32,-0.004919965998851694
Finance and Insurance,2300,2300,0,1836,1836,0,103938.288671024,103938.12,0.1686710240028333
"Arts, Entertainment, and Recreation",2264,2264,0,2339,2339,0,30560.465583583,30560.4,0.06558358300026157
Educational Services,1848,1848,0,1845,1845,0,46069.899186992,46069.92,-0.020813007999095134
Management of Companies and Enterprises,1672,1672,0,1237,1237,0,218204.981406629,218205.0,-0.01859337100177072
Real Estate and Rental and Leasing,1505,1505,0,1403,1403,0,58850.642195296,58850.48,0.16219529599766247
Transportation and Warehousing,1441,1441,0,1915,1915,0,51705.884073107,51705.68,0.20407310700102244
Information,747,747,0,583,583,0,82726.248713551,82726.28,-0.03128644899697974
Utilities,211,211,0,220,220,0,153381.872727273,153381.80000000002,0.07272727298550308
"Mining, Quarrying, and Oil and Gas Extraction",39,39,0,24,24,0,82093.5,82093.44,0.059999999997671694
"Agriculture, Forestry, Fishing and Hunting",0,0,0,7089,7089,0,44390.8503315,44390.84,0.010331500001484528
Wholesale Trade,0,0,0,3427,3427,0,82180.166909834,82180.28,-0.11309016599261668
