,count,mean,std,min,25%,50%,75%,max
year_num,63936.0,2022.0,0.0,2022.0,2022.0,2022.0,2022.0,2022.0
ind_level_num,56564.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
abs_firm_num,56564.0,221.67666713810905,1900.0444346354611,0.0,0.0,6.0,61.0,247882.0
abs_emp_num,56564.0,4665.432023902129,43134.4488977294,0.0,0.0,55.0,965.0,4453819.0
abs_payroll_usd_amt,56564.0,289909490.13506824,3275891413.930366,0.0,0.0,2435500.0,44172750.0,337347577000.0
abs_rcpt_usd_amt,56564.0,739948465155.9745,44393660826490.23,0.0,0.0,512990.0,205995055.0,7971436561252950.0
abs_rcpt_per_emp_usd_amt,56564.0,1697758.660013436,18362417.838247523,0.0,0.0,8466.5,228826.0,1789798050.0
own_cd,59131.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
qcew_ann_avg_emp_lvl_num,59131.0,2134.604623632274,10550.09833965138,0.0,0.0,131.0,786.5,751456.0
qcew_ttl_ann_wage_usd_amt,59131.0,149886601.83595744,1081851500.2842515,0.0,0.0,5955581.0,37688975.0,122678873252.0
qcew_avg_wkly_wage_usd_amt,44004.0,1025.2417559767296,585.0246076951843,55.38,655.1375,935.52,1250.2,26839.7
